type,entryAt,entryYmd,amount,categoryId,accountId,memberId,memo,fixedItemId,autoFlag,starFlag,jsonProps,uuid,bookId,sortKey,deleteFlag,syncAt,createdAt,createdBy,updatedAt,updatedBy
0,2018-05-26,20180526,25,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,半,,0,0,,499d3734-6b49-11eb-b5b9-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393362,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,50,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,花生豬排蛋吐司(半,,0,0,,499d3735-6b49-11eb-829b-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393363,0,,2021-02-09 03:46:31.361,,,
0,2018-05-26,20180526,450,6e46a7ea-c94f-4b2c-bbf4-f3b0cc7beccf,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,剪頭髮,,0,0,,499d3736-6b49-11eb-a131-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393364,0,,2021-02-09 03:46:31.361,,,
0,2018-05-25,20180525,85,a2718638-c17e-4674-8f7e-42fda6a518ee,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d3737-6b49-11eb-bb31-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393365,0,,2021-02-09 03:46:31.361,,,
0,2018-05-25,20180525,43,c984ab85-ead0-433c-9c44-9ebd17d2c67a,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d3738-6b49-11eb-9936-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393366,0,,2021-02-09 03:46:31.361,,,
0,2018-05-23,20180523,150,10e7c5f4-3927-40c3-a996-af5e01835a53,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d3739-6b49-11eb-aaef-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393367,0,,2021-02-09 03:46:31.361,,,
0,2018-05-24,20180524,100,6e46a7ea-c94f-4b2c-bbf4-f3b0cc7beccf,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,剪髮,,0,0,,499d373a-6b49-11eb-b31e-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393368,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,128,bfa17f14-866e-4403-b2df-a90811434b65,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,小滿(啤酒),,0,0,,499d373b-6b49-11eb-b482-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393369,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,125,ba816797-0dc5-4a6e-88d9-bc131d793aeb,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,,,0,0,,499d373c-6b49-11eb-904c-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393370,0,,2021-02-09 03:46:31.361,,,
0,2018-05-19,20180519,265,60200f80-34ce-41e6-b9fc-e8d7fc0ba068,f79c5f68-e2a8-45af-a274-8795d862f4ff,0530b2b7-a321-493c-a096-93f1d0350973,坐咖啡店3小時,,0,0,,499d373d-6b49-11eb-a0a6-04d9f57d0e18,8a2a6d8a-1b59-4782-ba78-84912b0cfff2,1612842393371,0,,2021-02-09 03:46:31.361,,,
